omim_id	entrez_id
115430	7276
115700	1421
115900	1412
116100	1427
116200	2703
116300	7431
116400	7466
116600	1969
116700	2651
116800	3299
116860	889
116920	3689
117000	6261
117210	146227
117300	9445
117360	3708
117550	64324
117650	6628
117800	85320
118100	392255
118200	4359
118210	23095
118220	5376
118300	5376
118400	6452
118450	182
118600	56172
118700	7080
118800	25953
119300	3664
119500	3664
119580	999
119600	860
119800	5307
119900	3248
120080	5243
120100	114548
120200	5080
120330	5076
120430	5080
120433	10413
120435	4436
120435	5378
120790	710
120970	1406
121050	2201
121200	3785
121201	3786
121300	1371
121800	29914
121820	7045
121850	200576
121900	7045
122000	58495
122100	3859
122200	7045
122400	1308
122470	25836
122600	6911
122700	1548
122700	1559
122700	79001
122860	50964
122880	5077
123000	56172
123100	7291
123150	2260
123150	2263
123320	859
123400	3119
123400	5621
123500	2263
123570	341640
123700	2006
123790	2263
124000	617
124200	488
124480	526
124500	2706
124900	1729
125250	4976
125310	4854
125350	5745
125370	1822
125400	64094
125420	1834
125490	1834
125500	1834
125595	3861
125630	30817
125700	551
125800	359
125850	3172
125851	2645
125852	3630
125853	10644
125853	169026
125853	208
125853	2645
125853	2820
125853	3159
125853	3172
125853	3569
125853	3651
125853	3667
125853	3767
125853	3990
125853	4544
125853	4760
125853	5078
125853	5167
125853	5468
125853	5506
125853	56729
125853	5770
125853	6514
125853	6833
125853	6927
125853	6928
125853	6934
125853	7466
125853	8660
125853	9479
126200	3119
126200	3123
126200	5133
126550	166929
126600	2202
126700	3075
127000	63901
127300	6473
127400	103
127500	23328
127550	26277
127550	7012
127550	7015
127700	161582
127750	2629
127750	6620
127750	6622
128100	1861
128101	10382
128200	112476
128230	2643
128235	478
129200	56916
129400	8626
129490	10913
129490	128178
129500	10804
129600	2200
130000	1289
130010	1290
130050	1281
130060	1277
130070	11285
130080	715
130600	6708
130650	1028
130650	105259599
130650	10984
130650	3481
130650	3784
130720	4854
130900	286077
131100	4221
131300	7040
131440	5159
131705	1294
131750	1294
131760	3852
131760	3861
131800	3861
131850	1294
131900	3861
131950	5339
131960	3852
132000	1294
132400	1311
132450	1280
132600	1499
132700	1540
132800	7046
132900	4629
133020	6335
133100	10019
133100	2057
133100	3717
133180	2065
133190	6785
133200	2707
133239	11178
133239	1630
133239	51741
133239	6049
133239	7048
133540	2074
133700	2131
133701	2132
133780	4041
133780	8322
134600	2628
134610	4210
135100	90
135150	201163
135290	324
135300	6654
135400	23461
135500	3756
135700	55605
135750	64327
135900	57492
136000	56916
136120	3931
136140	10847
136520	5080
136550	111365204
136570	2464
136630	57609
136680	7490
136760	257
136800	1296
136880	5959
136880	5961
136880	6010
136880	6017
136900	7078
137200	3094
137215	999
137245	8915
137440	5621
137550	3265
137550	4893
137580	114798
137580	3067
137600	5308
137750	4653
137760	10133
137800	2064
137800	3417
137800	7157
137920	6928
137940	54345
138000	11146
138500	153201
138800	23405
138900	9429
139090	23218
139210	4089
139300	1588
139393	5376
140000	3209
140300	1493
140350	3242
140600	4148
140700	3039
140700	3040
140700	3043
141200	1286
141500	773
141749	3043
141749	3047
141749	3048
142330	6927
142623	5979
142669	55325
142680	7132
142690	23385
142900	6910
142945	6469
142946	7050
143095	9469
143100	3064
143200	1462
143400	9096
143465	1815
143465	1816
143470	1071
143500	54658
143860	771
143870	55811
143880	1591
143890	10842
143890	2053
143890	2690
143890	336
143890	3949
144010	338
144200	3848
144200	3857
144250	4023
144650	116519
144700	11236
144700	201163
144700	4968
144700	55193
144700	6927
144700	6928
144700	7428
144750	4041
144755	23516
145000	79577
145001	79577
145250	4254
145350	6533
145420	23384
145500	118
145500	1577
145500	183
145500	185
145500	1889
145500	2784
145500	481
145500	4846
145500	5740
145500	8490
145600	6261
145650	7068
145680	7276
145750	116519
145900	1959
145900	4359
145900	5376
145900	57716
145980	846
145981	2767
146000	2261
146110	10011
146110	1848
146110	2796
146110	2798
146110	285025
146110	389549
146110	55717
146110	558
146110	81848
146110	8822
146110	9723
146200	5741
146255	2625
146300	249
146500	27235
146510	2737
146520	1041
146550	120766137
146590	3848
146600	3858
146700	2312
146750	151516
146800	3849
147050	2206
147050	3566
147050	50615
147050	7941
147060	6774
147250	6469
147430	85446
147480	5205
147630	389692
147750	57167
147891	9496
147920	7403
147920	8085
147950	2260
148000	3569
148050	29123
148190	5080
148200	114548
148210	2706
148300	30813
148350	2706
148370	1508
148500	79651
148600	79719
148700	1828
148820	5077
149200	2706
149400	10243
149400	2741
149700	3321
149730	2263
150250	2317
150400	80326
150550	9948
150600	1280
150800	2271
151050	9791
151100	5781
151210	1280
151600	5333
151623	7157
151660	4000
152700	11277
152700	1493
152700	1773
152700	2212
152700	2213
152700	26191
152950	3832
153100	2324
153400	2303
153550	6208
153600	4615
153670	2811
153700	7439
153800	24
153870	3617
154020	486
154400	10262
154500	6949
154700	2200
154780	1301
154800	3815
155100	4627
155240	5979
155255	1499
155255	23432
155255	51684
155255	675
155255	8518
155255	8643
155310	72
155500	5290
155600	673
155600	6794
155601	1029
155755	1029
155950	5604
156200	55777
156240	7490
156240	8915
156250	5781
156400	5745
156500	1300
156510	860
156530	59341
156550	1280
156610	203068
157170	6496
157300	1909
157300	2099
157300	7124
157600	1630
157640	5428
157800	6885
158000	3887
158000	3889
158000	3892
158300	4626
158310	6720
158320	4292
158320	4436
158330	54361
158350	5728
158580	60482
158590	26353
158600	1778
158810	1291
158810	1292
158810	1293
158900	2483
158901	23347
159550	219285
